Nama Provinsi,Location ISO Code,Area (km2),Population,Total Cases (Term 1),Total Deaths (Term 1),Total Recovered (Term 1),Total Cases (Term 2),Total Deaths (Term 2),Total Recovered (Term 2),Total Cases (Term 3),Total Deaths (Term 3),Total Recovered (Term 3),Total Cases (Keseluruhan),Total Deaths (Keseluruhan),Total Recovered (Keseluruhan)
DKI Jakarta,ID-JK,664,10846145,7088,492,2007,14311,340,11196,46503,829,41065,67902,1661,54268
Jawa Barat,ID-JB,35378,45161325,2345,154,692,4132,56,3271,13654,158,8059,20131,368,12022
Banten,ID-BT,9663,10722374,861,69,243,974,21,1111,3215,72,1864,5050,162,3218
Sulawesi Tenggara,ID-SG,38068,2635461,244,4,121,538,9,349,1719,40,1309,2501,53,1779
Kalimantan Timur,ID-KI,129067,3552191,295,3,172,1131,27,729,6425,264,4179,7851,294,5080
Daerah Istimewa Yogyakarta,ID-YO,3133,3631015,236,8,169,438,12,229,1784,44,1279,2458,64,1677
Sumatera Utara,ID-SU,72981,14874889,409,42,146,3522,150,1207,5912,223,4754,9843,415,6107
Jawa Tengah,ID-JT,32801,36364072,1403,68,360,8115,556,4944,11486,748,9739,21004,1372,15043
Jawa Timur,ID-JI,47803,40479023,4802,394,609,17282,1304,13806,20307,1386,20790,42391,3084,35205
Sulawesi Selatan,ID-SN,46717,9426885,1536,72,595,7853,239,5873,5593,95,4493,14982,406,10961
Maluku,ID-MA,46914,1847097,223,8,36,870,15,663,1561,17,988,2654,40,1687
Papua,ID-PA,319036,4340348,671,6,68,2388,26,1307,2704,48,2313,5763,80,3688
Maluku Utara,ID-MU,31983,1307803,153,10,27,1387,40,301,505,24,1471,2045,74,1799
Aceh,ID-AC,57956,5247257,20,1,17,390,11,74,3572,135,1798,3982,147,1889
Kalimantan Tengah,ID-KT,153565,2570289,406,19,164,1323,72,1023,1745,39,1449,3474,130,2636
Lampung,ID-LA,34624,9095591,134,11,69,121,1,126,559,18,324,814,30,519
Sulawesi Tengah,ID-ST,61841,2955567,128,4,61,79,3,127,147,8,55,354,15,243
Sumatera Barat,ID-SB,42013,5519245,567,26,265,381,8,495,4415,70,1964,5363,104,2724
Papua Barat,ID-PB,102955,1140701,168,2,55,265,4,237,1387,23,747,1820,29,1039
Kalimantan Utara,ID-KU,75468,648407,165,2,72,118,0,142,273,2,234,556,4,448
Sulawesi Barat,ID-SR,16787,1559984,92,2,41,138,2,99,337,7,267,567,11,407
Sumatera Selatan,ID-SS,91592,8217551,981,36,213,2436,127,1581,2317,173,2338,5734,336,4132
Bali,ID-BA,5780,4216171,465,4,329,2942,44,2547,4982,197,3952,8389,245,6828
Kalimantan Barat,ID-KB,147307,5422814,189,4,52,198,0,303,548,4,414,935,8,769
Riau,ID-RI,87024,6074100,117,6,88,328,6,221,5870,119,2632,6315,131,2941
Jambi,ID-JA,50058,3493357,97,0,15,65,4,100,247,4,148,409,8,263
Kalimantan Selatan,ID-KS,38744,4023049,917,86,100,5181,209,3267,3982,115,5136,10080,410,8503
Kepulauan Bangka Belitung,ID-BB,16424,1379767,46,1,28,147,1,145,143,2,104,336,4,277
Kepulauan Riau,ID-KR,8202,1929400,195,16,103,252,4,218,1575,36,906,2022,56,1227
Bengkulu,ID-BE,19919,1999539,91,3,22,126,15,96,373,14,261,590,32,379
Nusa Tenggara Barat,ID-NB,18572,5270247,636,10,291,1429,100,997,1153,82,1248,3218,192,2536
Sulawesi Utara,ID-SA,13892,2641884,339,37,51,2241,95,1175,1810,40,2237,4390,172,3463
Nusa Tenggara Timur,ID-NT,48718,5411321,92,1,14,53,0,96,243,5,130,388,6,240
Gorontalo,ID-GO,11257,1180651,94,6,26,921,27,519,1519,42,1654,2534,75,2199
